Comprobante;Origen - Nombre de base de datos;Fecha;Vendedor - Nombre;Lista de precios - Descripción;Proveedor - Nombre;Artículo - Descripción;Artículo - Código;Color - Código;Talle - Descripción;Item - Cantidad;Item - Monto Neto
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA MOLINOS;411140205;G6;MMG;1;37700
FEN B 0028-00000296;CORDOBA;13/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;G1;M;1;46300
FEN B 0028-00000386;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;H3;M;1;46300
FEN A 0028-00000072;CORDOBA;16/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA ALGODONILLO;811140064;H2;MCH;1;37100
FEN B 0028-00000296;CORDOBA;13/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA MOLINOS;411140205;G6;MG;1;37700
FEN B 0028-00000109;CORDOBA;20/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;POLO VOLCAN DOMUYO;411140218;C4;MG;1;50500
FEN B 0028-00000106;CORDOBA;20/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;POLO VOLCAN DOMUYO;411140218;C4;MG;1;50500
FEN B 0028-00000494;CORDOBA;09/04/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C5;G;1;43500
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;E1;G;1;36000
FEN B 0028-00000494;CORDOBA;09/04/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C6;G;1;43500
FEN A 0028-00000032;CORDOBA;24/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;POLO TREBOL BLANCO;811138001;H1;CH;1;50539,9999
FEN B 0028-00000474;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA M/C ESC RED.;811122047;H2;CH;-1;-31300
FEN B 0028-00000207;CORDOBA;04/03/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;C6;M;1;46300
FEN B 0028-00000416;CORDOBA;31/03/2026;Chistian Videla;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C5;G;1;56300
FEN B 0028-00000416;CORDOBA;31/03/2026;Chistian Videla;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C4;G;1;56300
FEN B 0028-00000442;CORDOBA;04/04/2026;Chistian Videla;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C5;M;1;56300
FEN B 0028-00000442;CORDOBA;04/04/2026;Chistian Videla;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C6;M;1;56300
FEN B 0028-00000442;CORDOBA;04/04/2026;Chistian Videla;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;E3;M;1;56300
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;REMERA PUERTO PIRAMIDES;811140065;H3;G;1;36000
FEN B 0028-00000531;CORDOBA;13/04/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;POLO RIO DE LA PLATA;411138029;C6;M;1;56300
CEN B 0028-00000002;CORDOBA;03/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;L;-1;-28080,0007
FEN B 0028-00000010;CORDOBA;03/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;L;1;28080,0007
FEN A 0028-00000006;CORDOBA;03/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;E3;L;1;28080,0007
FEN B 0028-00000530;CORDOBA;13/04/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;POLO VOLCAN DOMUYO;411140218;C4;G;1;50500
FEN A 0028-00000040;CORDOBA;27/02/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;REMERA COLOME;411140216;H1;G;1;40200
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;REMERA MOLINOS;411140205;G9;G;1;29200
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;C D Way S.A.;REMERA MOLINOS;411140205;G6;G;1;29200
FEN B 0028-00000146;CORDOBA;26/02/2026;Julieta Fernandez;PUBLICO;C D Way S.A.;REMERA BASICA PREMIUM 30/1 PAMPERO;411140004;H1;L;-1;-28181,8182
FCV B 0001-00000004;CORDOBA2;02/02/2026;Emiliana Reus;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;53982,3005
FCV B 0001-00000002;CORDOBA2;02/02/2026;Matias Racedo Aragon;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;38;1;0
FCV B 0050-00000049;CORDOBA2;06/05/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;G3;M;1;81600
FCV B 0001-00000110;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;46;1;53011,3865
FCV B 0001-00000225;CORDOBA2;16/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;48;1;54900,0021
FCV B 0001-00000145;CORDOBA2;20/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;54;1;53000
FCV B 0001-00000089;CORDOBA2;04/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;54;1;53000
FCV B 0001-00000113;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;50;1;53006,8813
FCV B 0001-00000206;CORDOBA2;10/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;48;1;54811,5914
FCV B 0001-00000227;CORDOBA2;17/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;48;1;54900
FCV B 0050-00000036;CORDOBA2;02/05/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;48;1;61000
FCV B 0001-00000122;CORDOBA2;12/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;46;1;53000
FCV B 0001-00000063;CORDOBA2;25/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CAIRO PAMPERO;U12106004;H0;G;1;79200
FCV B 0001-00000138;CORDOBA2;18/03/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;50;1;53000
FCV B 0050-00000007;CORDOBA2;21/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;52;1;54900,0006
FCV B 0050-00000017;CORDOBA2;24/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;46;1;55000
FCV B 0001-00000065;CORDOBA2;25/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;42;1;54000
FCV B 0001-00000114;CORDOBA2;10/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;50;1;53000
FCV B 0001-00000019;CORDOBA2;07/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;50;1;54882,4224
FCV B 0001-00000109;CORDOBA2;09/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;50;1;53000
FCV B 0001-00000231;CORDOBA2;17/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;48;1;54900
FCV B 0001-00000084;CORDOBA2;03/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP GR (56-60) PAMPERO;U209;H2;56;1;57800,0001
FCV B 0001-00000019;CORDOBA2;07/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;54882,4176
FCV B 0001-00000226;CORDOBA2;16/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;40;1;54900
FCV B 0001-00000090;CORDOBA2;04/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;38;1;53000
FCV B 0001-00000225;CORDOBA2;16/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;C4;42;1;54899,9991
FCV B 0001-00000112;CORDOBA2;10/03/2026;Julieta Fernandez;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;48100
FCV B 0001-00000196;CORDOBA2;08/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;54807,1072
FCV B 0001-00000113;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;42;1;53006,8813
FCV B 0001-00000178;CORDOBA2;31/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;46;1;53000
FCV B 0001-00000217;CORDOBA2;14/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;54899,9992
FCV B 0001-00000175;CORDOBA2;30/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;44;1;48760,3306
FCV B 0001-00000160;CORDOBA2;25/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;53000
FCV B 0001-00000113;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;-1;-53006,8813
FCV B 0050-00000052;CORDOBA2;06/05/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;40;1;54914,1519
FCV B 0001-00000188;CORDOBA2;06/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;44655,1884
FCV B 0001-00000172;CORDOBA2;30/03/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;44;1;43294,6417
FCV B 0050-00000022;CORDOBA2;27/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;44;1;54899,9984
FCV B 0050-00000041;CORDOBA2;04/05/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;46;1;54758,6858
FCV B 0001-00000188;CORDOBA2;06/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;46;1;44655,1911
FCV B 0050-00000014;CORDOBA2;24/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;40;1;54900
FCV B 0001-00000105;CORDOBA2;07/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;42;1;53000,001
FCV A 0050-00000002;CORDOBA2;06/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;42;1;51000,78
FCV B 0001-00000105;CORDOBA2;07/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;42;1;52999,9995
FCV A 0001-00000007;CORDOBA2;16/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;E1;50;1;45988,0743
FCV B 0001-00000189;CORDOBA2;06/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;50;1;54633,3316
FCV B 0001-00000186;CORDOBA2;04/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;50;1;54622,2579
FCV B 0001-00000188;CORDOBA2;06/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;G1;48;1;44655,1884
FCV B 0050-00000025;CORDOBA2;28/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;50;1;44629,1156
NCV B 0001-00000001;CORDOBA2;13/02/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;48;-2;-89280,0011
FCV B 0001-00000100;CORDOBA2;06/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;48;2;54003,2032
FCV B 0001-00000042;CORDOBA2;13/02/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;48;2;89280,0011
FCV B 0050-00000025;CORDOBA2;28/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO RIPSTOP CH (38-54) PAMPERO;U034;H2;48;1;44629,1137
